ID1,ID2,total_ibd_length,proportion_ibd
AG0138-C_bissau,AG0442-CW_bissau,1951568,0.03668313738221862
AG0138-C_bissau,AG0446-CW_bissau,1467476,0.027583780689736995
AG0138-C_bissau,AG0450-CW_bissau,2094904,0.03937738845613338
AG0138-C_bissau,AG0454-CW_bissau,2440780,0.045878733438840746
AG0144-C_bissau,AG0082-C_bissau,1068097,0.02007675314851215
AG0144-C_bissau,AG0124-C_bissau,490210,0.009214355213929205
AG0144-C_bissau,AG0169-C_bissau,3052325,0.057373792412142674
AG0144-C_bissau,AG0178-C_bissau,453940,0.008532597062097923
AG0144-C_bissau,AG0203-C_bissau,684885,0.012873612677611439
AG0144-C_bissau,AG0442-CW_bissau,572904,0.010768733725303231
AG0144-C_bissau,AG0446-CW_bissau,679892,0.012779760500823635
AG0144-C_bissau,AG0454-CW_bissau,897001,0.01686070427214808
AG0145-C_bissau,AG0085-C_bissau,879694,0.016535388905902036
AG0145-C_bissau,AG0108-C_bissau,907631,0.017060513733244482
AG0145-C_bissau,AG0111-C_bissau,980093,0.018422563890343965
AG0145-C_bissau,AG0118-C_bissau,3693350,0.06942297959928485
AG0145-C_bissau,AG0121-C_bissau,1074192,0.020191319344691133
AG0145-C_bissau,AG0124-C_bissau,3699672,0.06954181265789741
AG0145-C_bissau,AG0128-C_bissau,775675,0.01458016968353264
AG0145-C_bissau,AG0133-C_bissau,3138843,0.05900004969860914
AG0145-C_bissau,AG0138-C_bissau,509160,0.009570553641753929
AG0145-C_bissau,AG0144-C_bissau,1980947,0.037235367124227196
AG0145-C_bissau,AG0152-C_bissau,500979,0.009416777423388015
AG0145-C_bissau,AG0162-C_bissau,1088756,0.02046507522346893
AG0145-C_bissau,AG0169-C_bissau,1088179,0.020454229498252315
AG0145-C_bissau,AG0170-C_bissau,2335735,0.04390422875014163
AG0145-C_bissau,AG0178-C_bissau,663199,0.012465986339574131
AG0145-C_bissau,AG0179-C_bissau,980093,0.018422563890343965
AG0145-C_bissau,AG0183-C_bissau,3929977,0.07387079835289335
